Column Details,Field Name,Description
`duns` BIGINT,,Duns_Number,D-U-N-S ID
`country_iso_alpha_2_code` STRING,,Duns_Number,Headquarter country
`organization_name` STRING,,Company_Name,Name of company
`major_industry_category` STRING,,Sector_Category,SASB SICS® Sector
`industry_sector_category` STRING,,Industry,SASB SICS® Industry
`esg_ranking_score` INT,,ESG_ranking,Overall ESG Ranking where 1 is low risk and 5 is high risk
`environmental_ranking_score` INT,,E_ranking,Overall Environmental Ranking where 1 is low risk and 5 is high risk
`environmental_ranking_score_reason_1` BIGINT,,E_Reason_code_1,Primary reason driving the overall E Ranking classified as one of eleven E Topics
`environmental_ranking_score_reason_2` BIGINT,,E_Reason_code_2,Seconday reason driving overall E Ranking classified as one of eleven E Topics
`environmental_ranking_score_reason_3` BIGINT,,E_Reason_code_3,Tertiary reason driving the overall E Ranking classified as one of eleven E Topics
`social_ranking_score` INT,,S_ranking,Overall Social Ranking where 1 is low risk and 5 is high risk
`social_ranking_score_reason_1` BIGINT,,S_Reason_code_1,Primary reason driving the overall S Ranking classified as one of thirteen S Topics
`social_ranking_score_reason_2` BIGINT,,S_Reason_code_2,Seconday reason driving overall S Ranking classified as one of thirteen S Topics
`social_ranking_score_reason_3` BIGINT,,S_Reason_code_3,Tertiary reason driving the overall S Ranking classified as one of thirteen S Topics
`governance_ranking_score` INT,,G_ranking,Overall Governance Ranking where 1 is low risk and 5 is high risk
`governance_ranking_score_reason_1` BIGINT,,G_Reason_code_1,Primary reason driving the overall G Ranking classified as one of seven G Topics
`governance_ranking_score_reason_2` BIGINT,,G_Reason_code_2,Seconday reason driving overall G Ranking classified as one of seven G Topics
`governance_ranking_score_reason_3` BIGINT,,G_Reason_code_3,Tertiary reason driving the overall G Ranking classified as one of seven G Topics
`esg_ranking_peer_percentile` STRING,,ESG_ranking_peer_percentile,Percentile ranking of the company's ESG Ranking compared to SASB industry peer group, where higher percentile indicates better performance
`environmental_ranking_peer_percentile` STRING,,Environmental_ranking_peer_percentile,Percentile ranking of the company's E Ranking compared to SASB industry peer group, where higher percentile indicates better performance
`social_ranking_peer_percentile` STRING,,Social_ranking_peer_percentile,Percentile ranking of the company's S Ranking compared to SASB industry peer group, where higher percentile indicates better performance
`governance_ranking_peer_percentile` STRING,,Governance_ranking_peer_percentile,Percentile ranking of the company's G Ranking compared to SASB industry peer group, where higher percentile indicates better performance
`esg_ranking_average_peer_score` DECIMAL(10,2),,ESG_ranking_average_peer_score,Average ESG ranking for company's SASB Industry peer group where 1 is low risk and 5 is high risk
`environmental_ranking_average_peer_score` DECIMAL(10,2),,Environmental_ranking_average_peer_score,Average E ranking for company's SASB Industry peer group where 1 is low risk and 5 is high risk
`social_ranking_average_peer_score` DECIMAL(10,2),,Social_ranking_average_peer_score,Average S ranking for company's SASB Industry peer group where 1 is low risk and 5 is high risk
`governance_ranking_average_peer_score` DECIMAL(10,2),,Governance_ranking_average_peer_score,Average G ranking for company's SASB Industry peer group where 1 is low risk and 5 is high risk
