ResponseField,TargetField,DataType
id,id,INT64
account_id,account_id,INT64
adlabels,adlabels,JSON
bid_strategy,bid_strategy,STRING
boosted_object_id,boosted_object_id,INT64
brand_lift_studies,brand_lift_studies,JSON
budget_rebalance_flag,budget_rebalance_flag,BOOL
budget_remaining,budget_remaining,FLOAT64
buying_type,buying_type,STRING
campaign_group_active_time,campaign_group_active_time,INT64
can_create_brand_lift_study,can_create_brand_lift_study,BOOL
can_use_spend_cap,can_use_spend_cap,BOOL
configured_status,configured_status,STRING
created_time,created_time,TIMESTAMP
daily_budget,daily_budget,FLOAT64
effective_status,effective_status,STRING
has_secondary_skadnetwork_reporting,has_secondary_skadnetwork_reporting,BOOL
is_budget_schedule_enabled,is_budget_schedule_enabled,BOOL
is_skadnetwork_attribution,is_skadnetwork_attribution,BOOL
issues_info,issues_info,JSON
last_budget_toggling_time,last_budget_toggling_time,TIMESTAMP
lifetime_budget,lifetime_budget,FLOAT64
name,name,STRING
objective,objective,STRING
pacing_type,pacing_type,JSON
primary_attribution,primary_attribution,STRING
promoted_object,promoted_object,JSON
smart_promotion_type,smart_promotion_type,STRING
source_campaign,source_campaign,JSON
source_campaign_id,source_campaign_id,INT64
special_ad_categories,special_ad_categories,JSON
special_ad_category,special_ad_category,STRING
special_ad_category_country,special_ad_category_country,JSON
spend_cap,spend_cap,FLOAT64
start_time,start_time,TIMESTAMP
status,status,STRING
stop_time,stop_time,TIMESTAMP
topline_id,topline_id,INT64
updated_time,updated_time,TIMESTAMP
