SourceField,TargetField,DataType
Id,EventId,STRING
WhoId,WhoId,STRING
WhatId,WhatId,STRING
Subject,Subject,STRING
Location,Location,STRING
IsAllDayEvent,IsAllDayEvent,BOOL
ActivityDateTime,ActivityDateTimestamp,TIMESTAMP
ActivityDate,ActivityDate,DATE
DurationInMinutes,DurationInMinutes,INT64
StartDateTime,StartDateTimestamp,TIMESTAMP
EndDateTime,EndDateTimestamp,TIMESTAMP
EndDate,EndDate,DATE
Description,Description,STRING
AccountId,AccountId,STRING
OwnerId,OwnerId,STRING
IsPrivate,IsPrivate,BOOL
ShowAs,ShowAs,STRING
IsChild,IsChild,BOOL
IsGroupEvent,IsGroupEvent,BOOL
GroupEventType,GroupEventType,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
RecurrenceActivityId,RecurrenceActivityId,STRING
IsRecurrence,IsRecurrence,BOOL
RecurrenceStartDateTime,RecurrenceStartDateTimestamp,TIMESTAMP
RecurrenceEndDateOnly,RecurrenceEndDateOnly,DATE
RecurrenceTimeZoneSidKey,RecurrenceTimeZoneSidKey,STRING
RecurrenceType,RecurrenceType,STRING
RecurrenceInterval,RecurrenceInterval,INT64
RecurrenceDayOfWeekMask,RecurrenceDayOfWeekMask,INT64
RecurrenceDayOfMonth,RecurrenceDayOfMonth,INT64
RecurrenceInstance,RecurrenceInstance,STRING
RecurrenceMonthOfYear,RecurrenceMonthOfYear,STRING
ReminderDateTime,ReminderDateTimestamp,TIMESTAMP
IsReminderSet,IsReminderSet,BOOL
EventSubtype,EventSubtype,STRING
IsRecurrence2Exclusion,IsRecurrence2Exclusion,BOOL
Recurrence2PatternText,Recurrence2PatternText,STRING
Recurrence2PatternVersion,Recurrence2PatternVersion,STRING
IsRecurrence2,IsRecurrence2,BOOL
IsRecurrence2Exception,IsRecurrence2Exception,BOOL
Recurrence2PatternStartDate,Recurrence2PatternStartDatestamp,TIMESTAMP
Recurrence2PatternTimeZone,Recurrence2PatternTimeZone,STRING
