SourceField,TargetField,DataType
Id,LeadId,STRING
MasterRecordId,MasterRecordId,STRING
LastName,LastName,STRING
FirstName,FirstName,STRING
Salutation,Salutation,STRING
Name,Name,STRING
RecordTypeId,RecordTypeId,STRING
Title,Title,STRING
Company,Company,STRING
Street,Street,STRING
City,City,STRING
State,State,STRING
PostalCode,PostalCode,STRING
Country,Country,STRING
Latitude,Latitude,FLOAT64
Longitude,Longitude,FLOAT64
GeocodeAccuracy,GeocodeAccuracy,STRING
Phone,Phone,STRING
Email,Email,STRING
Website,Website,STRING
PhotoUrl,PhotoUrl,STRING
Description,Description,STRING
LeadSource,LeadSource,STRING
Status,Status,STRING
Industry,Industry,STRING
Rating,Rating,STRING
AnnualRevenue,AnnualRevenue,FLOAT64
NumberOfEmployees,NumberOfEmployees,INT64
OwnerId,OwnerId,STRING
IsConverted,IsConverted,BOOL
ConvertedDate,ConvertedDate,DATE
ConvertedAccountId,ConvertedAccountId,STRING
ConvertedContactId,ConvertedContactId,STRING
ConvertedOpportunityId,ConvertedOpportunityId,STRING
IsUnreadByOwner,IsUnreadByOwner,BOOL
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
LastActivityDate,LastActivityDate,DATE
LastViewedDate,LastViewedDatestamp,TIMESTAMP
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
Jigsaw,Jigsaw,STRING
JigsawContactId,JigsawContactId,STRING
EmailBouncedReason,EmailBouncedReason,STRING
EmailBouncedDate,EmailBouncedDatestamp,TIMESTAMP
IndividualId,IndividualId,STRING
