SourceField,TargetField,DataType
Id,TaskId,STRING
WhoId,WhoId,STRING
WhatId,WhatId,STRING
Subject,Subject,STRING
ActivityDate,ActivityDate,DATE
Status,Status,STRING
Priority,Priority,STRING
IsHighPriority,IsHighPriority,BOOL
OwnerId,OwnerId,STRING
Description,Description,STRING
AccountId,AccountId,STRING
IsClosed,IsClosed,BOOL
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
CallDurationInSeconds,CallDurationInSeconds,INT64
CallType,CallType,STRING
CallDisposition,CallDisposition,STRING
CallObject,CallObject,STRING
ReminderDateTime,ReminderDateTimestamp,TIMESTAMP
IsReminderSet,IsReminderSet,BOOL
RecurrenceActivityId,RecurrenceActivityId,STRING
IsRecurrence,IsRecurrence,BOOL
RecurrenceStartDateOnly,RecurrenceStartDateOnly,DATE
RecurrenceEndDateOnly,RecurrenceEndDateOnly,DATE
RecurrenceTimeZoneSidKey,RecurrenceTimeZoneSidKey,STRING
RecurrenceType,RecurrenceType,STRING
RecurrenceInterval,RecurrenceInterval,INT64
RecurrenceDayOfWeekMask,RecurrenceDayOfWeekMask,INT64
RecurrenceDayOfMonth,RecurrenceDayOfMonth,INT64
RecurrenceInstance,RecurrenceInstance,STRING
RecurrenceMonthOfYear,RecurrenceMonthOfYear,STRING
RecurrenceRegeneratedType,RecurrenceRegeneratedType,STRING
TaskSubtype,TaskSubtype,STRING
CompletedDateTime,CompletedDateTimestamp,TIMESTAMP
