SourceField,TargetField,DataType
Id,UserId,STRING
Username,UserName,STRING
LastName,LastName,STRING
FirstName,FirstName,STRING
Name,Name,STRING
CompanyName,CompanyName,STRING
Division,Division,STRING
Department,Department,STRING
Title,Title,STRING
Street,Street,STRING
City,City,STRING
State,State,STRING
PostalCode,PostalCode,STRING
Country,Country,STRING
Latitude,Latitude,FLOAT64
Longitude,Longitude,FLOAT64
GeocodeAccuracy,GeocodeAccuracy,STRING
Email,Email,STRING
EmailPreferencesAutoBcc,EmailPreferencesAutoBcc,BOOL
SenderEmail,SenderEmail,STRING
SenderName,SenderName,STRING
Signature,Signature,STRING
Phone,Phone,STRING
Fax,Fax,STRING
MobilePhone,MobilePhone,STRING
Alias,Alias,STRING
CommunityNickname,CommunityNickname,STRING
BadgeText,BadgeText,STRING
IsActive,IsActive,BOOL
TimeZoneSidKey,TimeZoneSidKey,STRING
UserRoleId,UserRoleId,STRING
LocaleSidKey,LocaleSidKey,STRING
EmailEncodingKey,EmailEncodingKey,STRING
ProfileId,ProfileId,STRING
UserType,UserType,STRING
LanguageLocaleKey,LanguageLocaleKey,STRING
EmployeeNumber,EmployeeNumber,STRING
DelegatedApproverId,DelegatedApproverId,STRING
ManagerId,ManagerId,STRING
LastLoginDate,LastLoginDatestamp,TIMESTAMP
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
ForecastEnabled,ForecastEnabled,BOOL
ContactId,ContactId,STRING
AccountId,AccountId,STRING
CallCenterId,CallCenterId,STRING
Extension,Extension,STRING
FederationIdentifier,FederationIdentifier,STRING
AboutMe,AboutMe,STRING
FullPhotoUrl,FullPhotoUrl,STRING
SmallPhotoUrl,SmallPhotoUrl,STRING
MediumPhotoUrl,MediumPhotoUrl,STRING
DigestFrequency,DigestFrequency,STRING
DefaultGroupNotificationFrequency,DefaultGroupNotificationFrequency,STRING
LastViewedDate,LastViewedDatestamp,TIMESTAMP
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
BannerPhotoUrl,BannerPhotoUrl,STRING
SmallBannerPhotoUrl,SmallBannerPhotoUrl,STRING
MediumBannerPhotoUrl,MediumBannerPhotoUrl,STRING
IsProfilePhotoActive,IsProfilePhotoActive,BOOL
IndividualId,IndividualId,STRING
