SourceField,TargetField,DataType
Id,CaseId,STRING
MasterRecordId,MasterRecordId,STRING
CaseNumber,CaseNumber,STRING
ContactId,ContactId,STRING
AccountId,AccountId,STRING
EntitlementId,EntitlementId,STRING
ParentId,ParentId,STRING
SuppliedName,SuppliedName,STRING
SuppliedEmail,SuppliedEmail,STRING
SuppliedPhone,SuppliedPhone,STRING
SuppliedCompany,SuppliedCompany,STRING
Type,Type,STRING
RecordTypeId,RecordTypeId,STRING
Status,Status,STRING
Reason,Reason,STRING
Origin,Origin,STRING
Language,Language,STRING
Subject,Subject,STRING
Priority,Priority,STRING
Description,Description,STRING
IsClosed,IsClosed,BOOL
ClosedDate,ClosedDatestamp,TIMESTAMP
IsEscalated,IsEscalated,BOOL
OwnerId,OwnerId,STRING
SlaStartDate,SlaStartDatestamp,TIMESTAMP
SlaExitDate,SlaExitDatestamp,TIMESTAMP
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
ContactPhone,ContactPhone,STRING
ContactMobile,ContactMobile,STRING
ContactEmail,ContactEmail,STRING
ContactFax,ContactFax,STRING
Comments,Comments,STRING
LastViewedDate,LastViewedDatestamp,TIMESTAMP
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
